教务处总长#1#            关键是改的质量不怎么样啊#2020-03-01 18:56
霍琊游浩贤#1#            b站花了几千万买了天官的IP不可能让他凉的#2020-03-02 14:15
紫夙不是紫风#1#            毕竟作者都进局子了，作品改的动漫自然别想好过，谁让作者太恶心呢#2020-03-02 16:22
王尔德与犀牛#1#            b站推什么仙王的抄袭作品，我看了都要吐了。好的作品不推，非要推抄袭的。#2020-03-02 21:12
王尔德与犀牛#1#            为什么非要推耽美？我也很喜欢原耽，但是过分消费耽美，真的很讨厌。默读动画真的不走心，费渡做的跟太宰治一样。洛队简直韩文清本人，消费耽美热度。#2020-03-02 21:14
蓝田#1#            快凉吧，我不歧视同性恋，但我真的歧视女作者去过度美化gay圈#2020-03-03 15:03
乱法之儒#12#            魔道祖师不是火了吗，算哪的#2020-03-05 17:44
知秋#1#            期待天宝#2020-03-05 22:36
AB#1#            来b站主要是看日漫的#2020-03-06 22:39
黄泉岸畔再回首#1#            不承认天官代表晋江#2020-03-07 03:40
水墨光影#7#            不要毁残次品，我一点都不希望动漫化，还不知道会怎么魔改，你耽美作品改成兄弟情就跟言情男女主是兄妹似的，那么多好作品不去做，偏偏弄耽美，我真服了#2020-03-08 21:42
你闪烁一下#1#            看他不如看秦时天九，整个就是靠炒作营销火的，作品本身质量也就那样，#2020-03-09 00:38
洛川群侠粉丝#1#            作为一个某动画第一季的粉丝关于原作的破事我就不重复哔哔了第二季凉了是什么原因我就不说了，那个叙事方法的确是那本小说的手笔。半回忆半现实，确实是臭母的手笔路人和光毛不可兼得望周知第一季的成功全在9-15的江家大院和改编#2020-03-15 12:45
苏玛丽#12#            搞基的趁早凉，又不是没有能看的了#2020-03-15 15:52
掌中的温度#11#            不是有消息说上面在限制耽美影视化，动漫也差不多了。另外出pv的时候最担心的建模可以反映去改，就怕剧情神操作(斗罗的感情线，武庚的主角人设，天九稀碎的剧情，第一季有十九分钟)玄机爱做长篇可以，请完结掉一部啊(部部都有可能是有生之年伤不起啊)#2020-03-15 19:11
a秦关#7#            不管怎样只要娘娘的天宝不凉就行#2020-03-17 08:33
青年天明#13#            坟贴勿回#2020-05-31 21:19
贴吧用户_6S5DEZCJA#1#            哎呀不火就不火吧，耽美圈子本身就适合圈地自萌，扩大了反而会ncf职黑全上来，圈子乱了，做成动漫自己看看就好#2020-06-01 13:52
贴吧用户_6S5DEZCJA#1#            不过不喜欢腾讯的同学适当的支持一下也不坏，毕竟B站也是个大平台，他们可能是要和腾讯竞争#2020-06-01 13:53
